"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding deposits with credit unions and credit cooperatives (% of GDP)","FCLODUG_GDP_PT","Indicator Source Code - Dissemination","_A2.._H._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding deposits with credit unions and credit cooperatives (% of GDP)","FCLODUG_GDP_PT","Indicator Source Code - EDD","FCLODUG|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding deposits with credit unions and credit cooperatives (% of GDP)","FCLODUG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding deposits with credit unions and credit cooperatives (% of GDP)","FCLODUG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCLODD, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Code","FCLODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Concept","Liabilities: Outstanding Deposits, Other Depository Corporations, Other deposit takers",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator CTS Code","FCLODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Definition","The amount (in millions of national currency) of all types of outstanding deposits (transferable and nontransferable) of resident nonfinancial corporations (public and private) and households with other deposit takers. ",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Full Name","Financial, Financial Access Survey, Use of Financial Services, Liabilities: Outstanding Deposits, Other Depository Corporations, Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Key Indicator","Other Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Mobile","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator SDMX Code","FCLODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator SDMX Name","Use of Financial Services, Liabilities: Outstanding Deposits, Other Depository Corporations, Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Short Name"," Outstanding deposits with other deposit takers (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Source Code","FCLODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Source Code - Collection","_A4.._H._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Source Code - Dissemination","_A4.._H._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Source Code - EDD","FCLODD|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding Deposits with Other deposit takers, Percent of GDP, Percent","FCLODDG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Alternate Publication Codes","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Code","FCSAMFG_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Concept","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator CTS Code","FCSAMFG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Definition","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Full Name","Monetary and Financial Accounts, Financial Access Survey, Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP), Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Mobile","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator SDMX Code","FCSAMFG_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator SDMX Name","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Short Name","Outstanding loans from all microfinance institutions (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Source Code","FCSAMFG_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Source Code - Collection","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Source Code - Dissemination","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from all microfinance institutions (% of GDP)","FCSAMFG_PT","Indicator Source Code - EDD","FCSAMFG|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCSODCG, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Code","FCSODCG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Concept","Outstanding loans from commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator CTS Code","FCSODCG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Definition","Calculated as: (outstanding loans from commercial banks)*100/GDP.",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Full Name","Monetary and Financial Accounts, Financial Access Survey, Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP), Ratio to GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Key Indicator","Key Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Mobile","180",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator SDMX Code","FCSODCG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator SDMX Name","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Short Name","Outstanding loans from commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Source Code","FCSODCG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Source Code - Collection","Financial, Financial Access Survey, Use of Financial Services: Key Indicators, Outstanding loans from commercial banks (% of GDP), Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Source Code - Dissemination","_A1.._J._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Source Code - EDD","FCSODCG|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks (% of GDP)","FCSODCG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCSODCHG, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Code","FCSODCHG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Concept","Outstanding loans from commercial banks to households (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator CTS Code","FCSODCHG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Definition","Calculated as: (outstanding loans by households from commercial banks)*100/ GDP.",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Full Name","Monetary and Financial Accounts, Financial Access Survey, Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP), Ratio to GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Key Indicator","Other Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Mobile","182",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator SDMX Code","FCSODCHG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator SDMX Name","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Short Name","Outstanding loans from commercial banks to household sector (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Source Code","FCSODCHG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Source Code - Collection","Financial, Financial Access Survey, Use of Financial Services: Key Indicators, Outstanding loans from commercial banks to households (% of GDP), Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Source Code - Dissemination","_A1Y._J._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Source Code - EDD","FCSODCHG|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from commercial banks to household sector (% of GDP)","FCSODCHG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCSODUG, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Code","FCSODUG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Concept","Outstanding loans from credit unions and financial cooperatives (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator CTS Code","FCSODUG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Definition","Calculated as: (outstanding loans from credit unions and financial cooperatives)*100/GDP.",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Full Name","Monetary and Financial Accounts, Financial Access Survey, Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP), Ratio to GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Key Indicator","Other Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Mobile","186",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator SDMX Code","FCSODUG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator SDMX Name","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Short Name","Outstanding loans from credit unions and credit cooperatives (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Source Code","FCSODUG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Source Code - Collection","Financial, Financial Access Survey, Use of Financial Services: Key Indicators, Outstanding loans from credit unions and financial cooperatives (% of GDP), Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Source Code - Dissemination","_A2.._J._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Source Code - EDD","FCSODUG|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from credit unions and credit cooperatives (% of GDP)","FCSODUG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCSODD, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Code","FCSODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Concept","Assets: Outstanding Loans, Other Depository Corporations, Other deposit takers",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator CTS Code","FCSODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Definition","The amount (in millions of national currency) of all types of outstanding loans of resident nonfinancial corporations (public and private) and households with other deposit takers.",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Full Name","Financial, Financial Access Survey, Use of Financial Services, Assets: Outstanding Loans, Other Depository Corporations, Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Key Indicator","Other Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Mobile","",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator SDMX Code","FCSODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator SDMX Name","Use of Financial Services, Assets: Outstanding Loans, Other Depository Corporations, Other deposit takers, Percent of GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Short Name"," Outstanding loans with other deposit takers (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Source Code","FCSODDG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Source Code - Collection","_A4.._J._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Source Code - Dissemination","_A4.._J._G|Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Source Code - EDD","FCSODD|PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Topic","Financial Sector",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding loans from Other deposit takers, Percent of GDP, Percent","FCSODDG_GDP_PT","Indicator Unit","Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Alternate Publication Codes","E-Library Concept: FCLODCSG, Unit: PGDP",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Code","FCLODCSG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Concept","Outstanding small and medium enterprises (SME) deposits with commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator CTS Code","FCLODCSG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Definition","Calculated as: (outstanding deposits of SMEs with commercial banks)*100/ GDP.",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Full Name","Monetary and Financial Accounts, Financial Access Survey, Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP), Ratio to GDP, Percent",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Key Indicator","Other Indicator",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Mobile","166",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Name","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator SDMX Code","FCLODCSG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator SDMX Name","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Short Name","Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Source Code","FCLODCSG_GDP_PT",""
"Financial Access Survey (FAS)","FAS","","","Key Indicators, Use of Financial Services, Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP)","FCLODCSG_GDP_PT","Indicator Source Code - Collection","Financial, Financial Access Survey, Use of Financial Services: Key Indicators, Outstanding small and medium enterprises (SME) deposits with commercial banks (% of GDP), Percent",""
